geo_id,total_pop,median_age,male_pop,female_pop,white_pop,black_pop,hispanic_pop,asian_pop,graduate_professional_degree,less_than_high_school_graduate,median_income,poverty,unemployed_pop,civilian_labor_force,occupied_housing_units,owner_occupied_housing_units,housing_units_renter_occupied,vacant_housing_units,median_rent,median_year_structure_built,gini_index
44001030100,4482.0,41.2,2056.0,2426.0,3890.0,41.0,124.0,113.0,1110.0,71.0,,425.0,91.0,2218.0,1702.0,1460.0,242.0,63.0,1214.0,1954.0,0.4709
44001030200,3129.0,43.6,1487.0,1642.0,2866.0,0.0,154.0,42.0,790.0,127.0,,100.0,58.0,1671.0,1141.0,904.0,237.0,34.0,961.0,1957.0,0.3676
44001030300,4496.0,43.5,2098.0,2398.0,3927.0,78.0,147.0,214.0,1129.0,38.0,,269.0,61.0,2295.0,1574.0,1455.0,119.0,131.0,1132.0,1963.0,0.4222
44001030400,3992.0,45.3,1962.0,2030.0,3632.0,1.0,147.0,160.0,1345.0,30.0,,80.0,2.0,2017.0,1430.0,1370.0,60.0,90.0,2741.0,1953.0,0.51
44001030500,3090.0,46.8,1475.0,1615.0,2913.0,30.0,85.0,9.0,199.0,325.0,,494.0,86.0,1881.0,1741.0,521.0,1220.0,155.0,757.0,0.0,0.4632
44001030601,3508.0,50.1,1747.0,1761.0,3274.0,0.0,136.0,0.0,296.0,259.0,,48.0,68.0,2262.0,1369.0,1132.0,237.0,153.0,913.0,1975.0,0.3765
44001030602,3878.0,54.1,1724.0,2154.0,3695.0,40.0,84.0,0.0,535.0,265.0,,408.0,85.0,2068.0,1907.0,1150.0,757.0,208.0,833.0,1965.0,0.4522
44001030700,3334.0,42.5,1505.0,1829.0,2821.0,129.0,107.0,217.0,331.0,299.0,,619.0,139.0,1841.0,1657.0,430.0,1227.0,502.0,842.0,1941.0,0.4605
44001030800,6274.0,21.9,3056.0,3218.0,5753.0,155.0,107.0,75.0,590.0,383.0,,122.0,107.0,3190.0,1683.0,951.0,732.0,232.0,1133.0,1945.0,0.3923
44001030901,6052.0,48.7,3077.0,2975.0,5702.0,0.0,250.0,31.0,527.0,911.0,,397.0,59.0,2941.0,2138.0,1940.0,198.0,42.0,1774.0,1972.0,0.4096
44001030902,6410.0,47.9,3184.0,3226.0,5810.0,55.0,185.0,110.0,1104.0,472.0,,224.0,121.0,3129.0,2619.0,1999.0,620.0,539.0,938.0,1979.0,0.4532
44003020101,6598.0,43.5,3534.0,3064.0,5468.0,0.0,656.0,412.0,340.0,362.0,,671.0,128.0,4084.0,2989.0,2185.0,804.0,53.0,994.0,1983.0,0.3867
44003020102,4962.0,38.5,2653.0,2309.0,4534.0,41.0,156.0,134.0,128.0,117.0,,485.0,142.0,2817.0,2133.0,1313.0,820.0,119.0,966.0,1972.0,0.3718
44003020200,4628.0,37.3,2584.0,2044.0,3796.0,37.0,592.0,51.0,283.0,280.0,,510.0,15.0,2541.0,2177.0,1054.0,1123.0,214.0,892.0,0.0,0.3968
44003020400,3222.0,33.9,1635.0,1587.0,2640.0,9.0,317.0,49.0,281.0,359.0,,209.0,164.0,2005.0,1216.0,602.0,614.0,99.0,952.0,1950.0,0.4446
44003020500,4011.0,42.6,1879.0,2132.0,3110.0,76.0,462.0,179.0,250.0,308.0,,531.0,170.0,2434.0,1791.0,1210.0,581.0,177.0,874.0,1965.0,0.4159
44003020601,6002.0,40.4,2772.0,3230.0,5528.0,0.0,242.0,2.0,337.0,276.0,,609.0,159.0,3699.0,2354.0,1980.0,374.0,51.0,1172.0,1969.0,0.356
